,Year,Season,region,Name,Event,Sport
172,1924,Summer,Greece,39,37,"['Shooting' 'Water Polo' 'Athletics' 'Art Competitions' 'Fencing' 'Boxing'
 'Tennis' 'Wrestling' 'Swimming']"
173,1924,Summer,Haiti,8,9,['Athletics' 'Shooting']
174,1924,Summer,Hungary,89,54,"['Football' 'Wrestling' 'Swimming' 'Water Polo' 'Athletics' 'Fencing'
 'Tennis' 'Cycling' 'Art Competitions' 'Shooting' 'Rowing' 'Boxing']"
175,1924,Summer,India,13,13,['Tennis' 'Athletics']
176,1924,Summer,Ireland,48,29,['Water Polo' 'Athletics' 'Tennis' 'Boxing' 'Football' 'Art Competitions']
177,1924,Summer,Italy,200,93,"['Athletics' 'Football' 'Equestrianism' 'Water Polo' 'Fencing' 'Swimming'
 'Rowing' 'Shooting' 'Boxing' 'Tennis' 'Wrestling' 'Weightlifting'
 'Cycling' 'Gymnastics' 'Diving' 'Art Competitions' 'Modern Pentathlon'
 'Sailing']"
178,1924,Summer,Japan,19,21,['Tennis' 'Swimming' 'Athletics' 'Wrestling']
179,1924,Summer,Latvia,36,23,['Cycling' 'Football' 'Wrestling' 'Athletics' 'Boxing' 'Weightlifting']
180,1924,Summer,Lithuania,13,2,['Cycling' 'Football']
181,1924,Summer,Luxembourg,48,35,"['Weightlifting' 'Football' 'Swimming' 'Wrestling' 'Gymnastics' 'Boxing'
 'Cycling' 'Athletics' 'Art Competitions' 'Tennis']"
182,1924,Summer,Mexico,15,15,['Athletics' 'Tennis' 'Shooting']
183,1924,Summer,Monaco,7,6,['Shooting' 'Sailing' 'Athletics' 'Art Competitions']
184,1924,Summer,Netherlands,177,81,"['Fencing' 'Boxing' 'Diving' 'Swimming' 'Rowing' 'Water Polo' 'Athletics'
 'Cycling' 'Tennis' 'Shooting' 'Football' 'Art Competitions' 'Sailing'
 'Wrestling' 'Equestrianism' 'Modern Pentathlon' 'Weightlifting']"
185,1924,Summer,New Zealand,4,6,['Swimming' 'Athletics' 'Boxing']
186,1924,Summer,Norway,62,43,"['Athletics' 'Fencing' 'Shooting' 'Tennis' 'Sailing' 'Boxing' 'Wrestling'
 'Modern Pentathlon' 'Art Competitions' 'Swimming']"
187,1924,Summer,Philippines,1,2,['Athletics']
188,1924,Summer,Poland,65,38,"['Athletics' 'Fencing' 'Football' 'Shooting' 'Sailing' 'Rowing'
 'Equestrianism' 'Boxing' 'Cycling' 'Wrestling']"
189,1924,Summer,Portugal,28,16,"['Shooting' 'Sailing' 'Fencing' 'Equestrianism' 'Athletics' 'Swimming'
 'Weightlifting' 'Tennis']"
190,1924,Summer,Romania,35,7,['Rugby' 'Football' 'Shooting' 'Tennis']
191,1924,Summer,Russia,3,2,['Art Competitions']
