,Year,Season,NOC,Name,Event,Sport,region,notes
1206,2010,Winter,RSA,2,2,['Cross Country Skiing' 'Alpine Skiing'],South Africa,
1207,2012,Summer,RSA,124,65,"['Athletics' 'Football' 'Swimming' 'Hockey' 'Rowing' 'Cycling'
 'Beach Volleyball' 'Shooting' 'Badminton' 'Weightlifting' 'Canoeing'
 'Sailing' 'Archery' 'Boxing' 'Triathlon' 'Equestrianism' 'Judo']",South Africa,
1208,2016,Summer,RSA,135,70,"['Rugby Sevens' 'Athletics' 'Football' 'Swimming' 'Rowing' 'Cycling'
 'Canoeing' 'Sailing' 'Badminton' 'Triathlon' 'Gymnastics' 'Judo' 'Golf'
 'Equestrianism' 'Diving']",South Africa,
1209,1906,Summer,CRT,8,5,['Athletics' 'Shooting'],Greece,Crete
1210,1906,Summer,EGY,2,5,['Wrestling' 'Cycling' 'Athletics'],Egypt,
1211,1920,Summer,EGY,18,11,['Football' 'Fencing' 'Athletics' 'Gymnastics' 'Wrestling' 'Weightlifting'],Egypt,
1212,1924,Summer,EGY,24,12,"['Shooting' 'Fencing' 'Football' 'Athletics' 'Boxing' 'Cycling'
 'Art Competitions' 'Wrestling' 'Weightlifting']",Egypt,
1213,1928,Summer,EGY,32,14,['Football' 'Fencing' 'Wrestling' 'Diving' 'Weightlifting'],Egypt,
1214,1936,Summer,EGY,53,30,"['Fencing' 'Diving' 'Athletics' 'Shooting' 'Wrestling' 'Boxing' 'Football'
 'Weightlifting' 'Swimming' 'Basketball']",Egypt,
1215,1948,Summer,EGY,85,53,"['Fencing' 'Wrestling' 'Water Polo' 'Swimming' 'Gymnastics' 'Diving'
 'Football' 'Basketball' 'Boxing' 'Weightlifting' 'Rowing' 'Athletics']",Egypt,
1216,1952,Summer,EGY,106,65,"['Diving' 'Basketball' 'Athletics' 'Fencing' 'Water Polo' 'Swimming'
 'Weightlifting' 'Boxing' 'Football' 'Gymnastics' 'Shooting' 'Rowing'
 'Wrestling' 'Equestrianism']",Egypt,
1217,1956,Summer,EGY,3,2,['Equestrianism'],Egypt,
1218,1964,Summer,EGY,73,35,"['Weightlifting' 'Rowing' 'Water Polo' 'Fencing' 'Wrestling' 'Football'
 'Boxing' 'Shooting' 'Gymnastics']",Egypt,
1219,1968,Summer,EGY,30,18,"['Diving' 'Boxing' 'Weightlifting' 'Fencing' 'Water Polo' 'Wrestling'
 'Shooting']",Egypt,
1220,1972,Summer,EGY,23,16,['Basketball' 'Boxing' 'Wrestling' 'Athletics' 'Swimming'],Egypt,
1221,1976,Summer,EGY,26,7,['Weightlifting' 'Basketball' 'Boxing' 'Volleyball'],Egypt,
1222,1984,Summer,EGY,113,74,"['Volleyball' 'Basketball' 'Football' 'Athletics' 'Wrestling'
 'Weightlifting' 'Fencing' 'Boxing' 'Modern Pentathlon' 'Diving'
 'Swimming' 'Judo' 'Shooting' 'Synchronized Swimming' 'Sailing']",Egypt,
1223,1984,Winter,EGY,1,3,['Alpine Skiing'],Egypt,
1224,1988,Summer,EGY,49,36,"['Wrestling' 'Basketball' 'Modern Pentathlon' 'Swimming' 'Athletics'
 'Weightlifting' 'Fencing' 'Boxing' 'Table Tennis' 'Judo' 'Shooting'
 'Equestrianism']",Egypt,
1225,1992,Summer,EGY,75,32,"['Handball' 'Fencing' 'Hockey' 'Football' 'Modern Pentathlon'
 'Weightlifting' 'Swimming' 'Judo' 'Boxing' 'Table Tennis' 'Wrestling'
 'Shooting' 'Equestrianism']",Egypt,
1226,1996,Summer,EGY,29,17,"['Handball' 'Weightlifting' 'Judo' 'Boxing' 'Swimming' 'Shooting'
 'Wrestling' 'Rowing']",Egypt,
1227,2000,Summer,EGY,89,64,"['Taekwondo' 'Cycling' 'Wrestling' 'Volleyball' 'Shooting'
 'Synchronized Swimming' 'Rowing' 'Boxing' 'Gymnastics' 'Table Tennis'
 'Handball' 'Judo' 'Weightlifting' 'Fencing' 'Modern Pentathlon'
 'Swimming' 'Athletics' 'Equestrianism' 'Archery' 'Rhythmic Gymnastics']",Egypt,
1228,2004,Summer,EGY,96,48,"['Wrestling' 'Handball' 'Synchronized Swimming' 'Water Polo' 'Fencing'
 'Shooting' 'Modern Pentathlon' 'Judo' 'Hockey' 'Boxing' 'Taekwondo'
 'Archery' 'Athletics' 'Weightlifting' 'Swimming' 'Rowing' 'Equestrianism']",Egypt,
1229,2008,Summer,EGY,100,68,"['Volleyball' 'Handball' 'Taekwondo' 'Synchronized Swimming' 'Wrestling'
 'Shooting' 'Table Tennis' 'Weightlifting' 'Archery' 'Rowing' 'Athletics'
 'Boxing' 'Fencing' 'Modern Pentathlon' 'Swimming' 'Judo' 'Gymnastics'
 'Equestrianism' 'Badminton']",Egypt,
1230,2012,Summer,EGY,109,87,"['Wrestling' 'Synchronized Swimming' 'Weightlifting' 'Athletics' 'Fencing'
 'Football' 'Rowing' 'Table Tennis' 'Shooting' 'Judo' 'Swimming'
 'Modern Pentathlon' 'Archery' 'Gymnastics' 'Taekwondo' 'Equestrianism'
 'Sailing' 'Boxing' 'Badminton' 'Rhythmic Gymnastics' 'Canoeing']",Egypt,
1231,2016,Summer,EGY,121,87,"['Volleyball' 'Diving' 'Shooting' 'Boxing' 'Judo' 'Weightlifting'
 'Synchronized Swimming' 'Handball' 'Fencing' 'Modern Pentathlon'
 'Taekwondo' 'Swimming' 'Table Tennis' 'Athletics' 'Rowing'
 'Beach Volleyball' 'Archery' 'Wrestling' 'Canoeing' 'Gymnastics'
 'Equestrianism' 'Cycling' 'Sailing']",Egypt,
1232,1906,Summer,FIN,4,11,['Athletics' 'Wrestling'],Finland,
1233,1908,Summer,FIN,62,23,['Diving' 'Swimming' 'Gymnastics' 'Shooting' 'Athletics' 'Wrestling'],Finland,
1234,1912,Summer,FIN,164,49,"['Swimming' 'Wrestling' 'Sailing' 'Athletics' 'Diving' 'Shooting'
 'Gymnastics' 'Rowing' 'Football' 'Cycling']",Finland,
1235,1920,Summer,FIN,63,51,"['Swimming' 'Wrestling' 'Weightlifting' 'Modern Pentathlon'
 'Figure Skating' 'Athletics' 'Diving' 'Shooting' 'Equestrianism']",Finland,
1236,1924,Summer,FIN,121,69,"['Swimming' 'Wrestling' 'Athletics' 'Shooting' 'Modern Pentathlon'
 'Cycling' 'Sailing' 'Equestrianism' 'Diving' 'Tennis' 'Gymnastics'
 'Art Competitions']",Finland,
1237,1924,Winter,FIN,17,11,"['Military Ski Patrol' 'Cross Country Skiing' 'Nordic Combined'
 'Ski Jumping' 'Figure Skating' 'Speed Skating']",Finland,
1238,1928,Summer,FIN,69,48,"['Wrestling' 'Athletics' 'Fencing' 'Modern Pentathlon' 'Sailing' 'Cycling'
 'Boxing' 'Gymnastics' 'Diving' 'Swimming' 'Equestrianism']",Finland,
1239,1928,Winter,FIN,18,10,"['Speed Skating' 'Figure Skating' 'Ski Jumping' 'Nordic Combined'
 'Cross Country Skiing']",Finland,
1240,1932,Summer,FIN,40,36,['Boxing' 'Athletics' 'Wrestling' 'Gymnastics' 'Swimming'],Finland,
1241,1932,Winter,FIN,7,6,['Speed Skating' 'Cross Country Skiing' 'Figure Skating'],Finland,
1242,1936,Summer,FIN,108,70,"['Athletics' 'Boxing' 'Shooting' 'Sailing' 'Football' 'Modern Pentathlon'
 'Swimming' 'Wrestling' 'Canoeing' 'Art Competitions' 'Cycling' 'Diving'
 'Gymnastics' 'Equestrianism']",Finland,
1243,1936,Winter,FIN,19,10,"['Speed Skating' 'Cross Country Skiing' 'Nordic Combined' 'Ski Jumping'
 'Figure Skating']",Finland,
1244,1948,Summer,FIN,129,84,"['Gymnastics' 'Art Competitions' 'Canoeing' 'Rowing' 'Cycling'
 'Equestrianism' 'Shooting' 'Wrestling' 'Athletics' 'Sailing' 'Fencing'
 'Weightlifting' 'Modern Pentathlon' 'Boxing' 'Swimming' 'Diving']",Finland,
1245,1948,Winter,FIN,24,12,"['Alpine Skiing' 'Cross Country Skiing' 'Nordic Combined' 'Ski Jumping'
 'Speed Skating']",Finland,
1246,1952,Summer,FIN,258,139,"['Swimming' 'Gymnastics' 'Rowing' 'Athletics' 'Football' 'Cycling'
 'Sailing' 'Hockey' 'Canoeing' 'Wrestling' 'Boxing' 'Equestrianism'
 'Basketball' 'Diving' 'Weightlifting' 'Shooting' 'Fencing'
 'Modern Pentathlon']",Finland,
1247,1952,Winter,FIN,50,16,"['Alpine Skiing' 'Ice Hockey' 'Cross Country Skiing' 'Nordic Combined'
 'Ski Jumping' 'Speed Skating' 'Figure Skating']",Finland,
1248,1956,Summer,FIN,71,67,"['Equestrianism' 'Athletics' 'Canoeing' 'Sailing' 'Wrestling' 'Boxing'
 'Rowing' 'Gymnastics' 'Modern Pentathlon' 'Swimming' 'Fencing' 'Shooting'
 'Weightlifting' 'Cycling' 'Diving']",Finland,
1249,1956,Winter,FIN,31,16,"['Alpine Skiing' 'Cross Country Skiing' 'Speed Skating' 'Ski Jumping'
 'Nordic Combined' 'Figure Skating']",Finland,
1250,1960,Summer,FIN,117,92,"['Boxing' 'Wrestling' 'Canoeing' 'Athletics' 'Gymnastics' 'Shooting'
 'Fencing' 'Sailing' 'Swimming' 'Rowing' 'Cycling' 'Diving'
 'Weightlifting' 'Modern Pentathlon']",Finland,
1251,1960,Winter,FIN,48,18,"['Cross Country Skiing' 'Ice Hockey' 'Ski Jumping' 'Speed Skating'
 'Nordic Combined' 'Biathlon']",Finland,
1252,1964,Summer,FIN,89,64,"['Wrestling' 'Athletics' 'Gymnastics' 'Sailing' 'Basketball' 'Boxing'
 'Swimming' 'Rowing' 'Modern Pentathlon' 'Shooting' 'Weightlifting'
 'Diving' 'Canoeing']",Finland,
1253,1964,Winter,FIN,51,23,"['Cross Country Skiing' 'Alpine Skiing' 'Biathlon' 'Ski Jumping'
 'Speed Skating' 'Ice Hockey' 'Nordic Combined']",Finland,
1254,1968,Summer,FIN,66,61,"['Modern Pentathlon' 'Shooting' 'Wrestling' 'Athletics' 'Rowing'
 'Swimming' 'Gymnastics' 'Cycling' 'Weightlifting' 'Diving' 'Canoeing'
 'Boxing' 'Sailing']",Finland,
1255,1968,Winter,FIN,52,24,"['Alpine Skiing' 'Biathlon' 'Speed Skating' 'Ice Hockey'
 'Cross Country Skiing' 'Ski Jumping' 'Nordic Combined']",Finland,
1256,1972,Summer,FIN,96,75,"['Rowing' 'Judo' 'Shooting' 'Athletics' 'Weightlifting' 'Wrestling'
 'Cycling' 'Modern Pentathlon' 'Fencing' 'Diving' 'Archery' 'Canoeing'
 'Boxing' 'Gymnastics' 'Sailing' 'Swimming']",Finland,
1257,1972,Winter,FIN,50,21,"['Speed Skating' 'Cross Country Skiing' 'Biathlon' 'Ice Hockey'
 'Ski Jumping' 'Nordic Combined']",Finland,
1258,1976,Summer,FIN,83,63,"['Rowing' 'Judo' 'Weightlifting' 'Sailing' 'Athletics' 'Canoeing' 'Boxing'
 'Cycling' 'Shooting' 'Wrestling' 'Modern Pentathlon' 'Fencing' 'Swimming'
 'Archery']",Finland,
1259,1976,Winter,FIN,47,26,"['Ice Hockey' 'Ski Jumping' 'Nordic Combined' 'Biathlon' 'Speed Skating'
 'Cross Country Skiing' 'Figure Skating' 'Alpine Skiing']",Finland,
1260,1980,Summer,FIN,105,71,"['Athletics' 'Football' 'Weightlifting' 'Judo' 'Fencing' 'Canoeing'
 'Wrestling' 'Shooting' 'Cycling' 'Modern Pentathlon' 'Swimming' 'Boxing'
 'Archery' 'Rowing' 'Equestrianism' 'Sailing']",Finland,
1261,1980,Winter,FIN,52,24,"['Cross Country Skiing' 'Biathlon' 'Figure Skating' 'Ice Hockey'
 'Nordic Combined' 'Ski Jumping' 'Speed Skating']",Finland,
1262,1984,Summer,FIN,86,76,"['Athletics' 'Shooting' 'Boxing' 'Canoeing' 'Weightlifting' 'Wrestling'
 'Cycling' 'Modern Pentathlon' 'Judo' 'Swimming' 'Rowing' 'Equestrianism'
 'Archery' 'Sailing' 'Diving']",Finland,
1263,1984,Winter,FIN,45,20,"['Cross Country Skiing' 'Ice Hockey' 'Biathlon' 'Nordic Combined'
 'Ski Jumping' 'Speed Skating']",Finland,
1264,1988,Summer,FIN,78,66,"['Wrestling' 'Athletics' 'Equestrianism' 'Boxing' 'Archery' 'Canoeing'
 'Weightlifting' 'Cycling' 'Shooting' 'Rowing' 'Sailing' 'Judo' 'Diving'
 'Swimming' 'Fencing']",Finland,
1265,1988,Winter,FIN,53,22,"['Ice Hockey' 'Alpine Skiing' 'Biathlon' 'Cross Country Skiing'
 'Speed Skating' 'Ski Jumping' 'Nordic Combined']",Finland,
1266,1992,Summer,FIN,88,85,"['Sailing' 'Wrestling' 'Judo' 'Athletics' 'Swimming' 'Shooting' 'Archery'
 'Weightlifting' 'Cycling' 'Rowing' 'Badminton' 'Boxing' 'Canoeing'
 'Equestrianism' 'Rhythmic Gymnastics' 'Synchronized Swimming']",Finland,
1267,1992,Winter,FIN,62,30,"['Ice Hockey' 'Biathlon' 'Cross Country Skiing' 'Speed Skating'
 'Figure Skating' 'Nordic Combined' 'Freestyle Skiing' 'Ski Jumping']",Finland,
1268,1994,Winter,FIN,61,31,"['Biathlon' 'Ski Jumping' 'Ice Hockey' 'Cross Country Skiing'
 'Freestyle Skiing' 'Figure Skating' 'Alpine Skiing' 'Nordic Combined']",Finland,
1269,1996,Summer,FIN,76,74,"['Sailing' 'Wrestling' 'Swimming' 'Athletics' 'Shooting' 'Rowing'
 'Weightlifting' 'Cycling' 'Badminton' 'Rhythmic Gymnastics' 'Canoeing'
 'Equestrianism' 'Judo' 'Fencing' 'Archery']",Finland,
1270,1998,Winter,FIN,85,34,"['Ski Jumping' 'Cross Country Skiing' 'Ice Hockey' 'Figure Skating'
 'Biathlon' 'Speed Skating' 'Snowboarding' 'Freestyle Skiing'
 'Nordic Combined' 'Alpine Skiing']",Finland,
1271,2000,Summer,FIN,70,64,"['Badminton' 'Sailing' 'Athletics' 'Wrestling' 'Archery' 'Equestrianism'
 'Swimming' 'Shooting' 'Judo' 'Cycling' 'Taekwondo' 'Canoeing'
 'Rhythmic Gymnastics' 'Weightlifting' 'Diving' 'Boxing']",Finland,
1272,2002,Winter,FIN,98,41,"['Ice Hockey' 'Ski Jumping' 'Biathlon' 'Snowboarding' 'Speed Skating'
 'Curling' 'Cross Country Skiing' 'Freestyle Skiing' 'Nordic Combined'
 'Figure Skating' 'Alpine Skiing']",Finland,
1273,2004,Summer,FIN,53,53,"['Wrestling' 'Athletics' 'Swimming' 'Taekwondo' 'Shooting' 'Canoeing'
 'Sailing' 'Tennis' 'Judo' 'Diving' 'Archery' 'Badminton']",Finland,
1274,2006,Winter,FIN,90,36,"['Ski Jumping' 'Snowboarding' 'Ice Hockey' 'Speed Skating'
 'Cross Country Skiing' 'Curling' 'Nordic Combined' 'Figure Skating'
 'Freestyle Skiing' 'Alpine Skiing' 'Biathlon']",Finland,
1275,2008,Summer,FIN,57,55,"['Wrestling' 'Sailing' 'Shooting' 'Weightlifting' 'Athletics' 'Archery'
 'Canoeing' 'Judo' 'Equestrianism' 'Badminton' 'Swimming' 'Tennis'
 'Rowing' 'Diving']",Finland,
1276,2010,Winter,FIN,91,41,"['Ski Jumping' 'Biathlon' 'Ice Hockey' 'Freestyle Skiing'
 'Cross Country Skiing' 'Nordic Combined' 'Snowboarding' 'Figure Skating'
 'Speed Skating' 'Alpine Skiing']",Finland,
1277,2012,Summer,FIN,56,61,"['Wrestling' 'Weightlifting' 'Athletics' 'Sailing' 'Canoeing' 'Shooting'
 'Judo' 'Equestrianism' 'Swimming' 'Badminton' 'Taekwondo' 'Tennis'
 'Cycling' 'Gymnastics']",Finland,
1278,2014,Winter,FIN,99,41,"['Ice Hockey' 'Ski Jumping' 'Snowboarding' 'Cross Country Skiing'
 'Nordic Combined' 'Biathlon' 'Freestyle Skiing' 'Speed Skating'
 'Alpine Skiing']",Finland,
1279,2016,Summer,FIN,54,55,"['Sailing' 'Athletics' 'Wrestling' 'Golf' 'Swimming' 'Equestrianism'
 'Gymnastics' 'Archery' 'Cycling' 'Shooting' 'Taekwondo' 'Table Tennis'
 'Boxing' 'Judo' 'Weightlifting' 'Badminton' 'Rhythmic Gymnastics']",Finland,
1280,1906,Summer,TUR,1,2,['Athletics'],Turkey,
1281,1912,Summer,TUR,2,7,['Athletics'],Turkey,
1282,1924,Summer,TUR,22,11,['Wrestling' 'Fencing' 'Football' 'Athletics' 'Weightlifting'],Turkey,
1283,1928,Summer,TUR,31,17,['Wrestling' 'Athletics' 'Football' 'Fencing' 'Cycling' 'Weightlifting'],Turkey,
1284,1932,Summer,TUR,1,1,['Art Competitions'],Turkey,
1285,1936,Summer,TUR,48,26,"['Fencing' 'Football' 'Basketball' 'Wrestling' 'Sailing' 'Cycling'
 'Equestrianism']",Turkey,
1286,1936,Winter,TUR,6,3,['Alpine Skiing' 'Cross Country Skiing'],Turkey,
1287,1948,Summer,TUR,58,42,"['Athletics' 'Wrestling' 'Football' 'Fencing' 'Equestrianism' 'Cycling'
 'Art Competitions']",Turkey,
1288,1948,Winter,TUR,4,3,['Alpine Skiing'],Turkey,
1289,1952,Summer,TUR,51,31,['Athletics' 'Wrestling' 'Football' 'Basketball'],Turkey,
1290,1956,Summer,TUR,19,20,['Wrestling' 'Equestrianism'],Turkey,
1291,1956,Winter,TUR,4,3,['Alpine Skiing'],Turkey,
1292,1960,Summer,TUR,49,41,['Wrestling' 'Athletics' 'Football' 'Sailing' 'Swimming' 'Equestrianism'],Turkey,
1293,1960,Winter,TUR,2,3,['Alpine Skiing'],Turkey,
1294,1964,Summer,TUR,23,24,['Wrestling' 'Sailing' 'Athletics' 'Weightlifting'],Turkey,
1295,1964,Winter,TUR,5,3,['Alpine Skiing'],Turkey,
1296,1968,Summer,TUR,29,29,['Wrestling' 'Athletics' 'Shooting' 'Boxing'],Turkey,
1297,1968,Winter,TUR,11,5,['Alpine Skiing' 'Cross Country Skiing'],Turkey,
1298,1972,Summer,TUR,43,43,"['Athletics' 'Wrestling' 'Fencing' 'Swimming' 'Weightlifting' 'Cycling'
 'Boxing' 'Shooting']",Turkey,
1299,1976,Summer,TUR,27,27,"['Wrestling' 'Athletics' 'Weightlifting' 'Boxing' 'Shooting' 'Judo'
 'Diving' 'Cycling']",Turkey,
1300,1976,Winter,TUR,9,6,['Alpine Skiing' 'Cross Country Skiing'],Turkey,
1301,1984,Summer,TUR,46,49,"['Wrestling' 'Athletics' 'Weightlifting' 'Swimming' 'Archery' 'Judo'
 'Boxing' 'Sailing' 'Fencing' 'Shooting']",Turkey,
1302,1984,Winter,TUR,7,3,['Alpine Skiing' 'Cross Country Skiing'],Turkey,
1303,1988,Summer,TUR,41,40,"['Wrestling' 'Athletics' 'Archery' 'Judo' 'Sailing' 'Weightlifting'
 'Boxing' 'Swimming' 'Shooting']",Turkey,
1304,1988,Winter,TUR,8,5,['Alpine Skiing' 'Cross Country Skiing'],Turkey,
1305,1992,Summer,TUR,41,43,"['Weightlifting' 'Judo' 'Wrestling' 'Rowing' 'Swimming' 'Archery'
 'Sailing' 'Boxing' 'Athletics' 'Shooting']",Turkey,
1306,1992,Winter,TUR,8,5,['Alpine Skiing' 'Cross Country Skiing'],Turkey,
1307,1994,Winter,TUR,1,1,['Cross Country Skiing'],Turkey,
1308,1996,Summer,TUR,53,55,"['Judo' 'Athletics' 'Sailing' 'Archery' 'Weightlifting' 'Wrestling'
 'Swimming' 'Boxing' 'Shooting']",Turkey,
1309,1998,Winter,TUR,1,1,['Alpine Skiing'],Turkey,
1310,2000,Summer,TUR,57,58,"['Sailing' 'Archery' 'Athletics' 'Weightlifting' 'Wrestling' 'Boxing'
 'Taekwondo' 'Swimming' 'Shooting' 'Judo']",Turkey,
1311,2002,Winter,TUR,3,5,['Alpine Skiing' 'Cross Country Skiing'],Turkey,
1312,2004,Summer,TUR,64,65,"['Athletics' 'Sailing' 'Weightlifting' 'Boxing' 'Swimming' 'Wrestling'
 'Judo' 'Archery' 'Taekwondo' 'Shooting']",Turkey,
1313,2006,Winter,TUR,6,14,['Cross Country Skiing' 'Figure Skating' 'Alpine Skiing'],Turkey,
1314,2008,Summer,TUR,67,67,"['Athletics' 'Cycling' 'Wrestling' 'Swimming' 'Weightlifting' 'Sailing'
 'Shooting' 'Archery' 'Taekwondo' 'Table Tennis' 'Judo' 'Boxing']",Turkey,
1315,2010,Winter,TUR,5,9,['Cross Country Skiing' 'Alpine Skiing' 'Figure Skating'],Turkey,
1316,2012,Summer,TUR,112,80,"['Athletics' 'Cycling' 'Wrestling' 'Basketball' 'Weightlifting'
 'Volleyball' 'Swimming' 'Sailing' 'Shooting' 'Boxing' 'Table Tennis'
 'Judo' 'Archery' 'Taekwondo' 'Gymnastics' 'Badminton']",Turkey,
1317,2014,Winter,TUR,6,10,['Figure Skating' 'Cross Country Skiing' 'Alpine Skiing'],Turkey,
1318,2016,Summer,TUR,100,88,"['Wrestling' 'Athletics' 'Basketball' 'Archery' 'Gymnastics' 'Swimming'
 'Weightlifting' 'Cycling' 'Badminton' 'Sailing' 'Tennis' 'Boxing'
 'Shooting' 'Table Tennis' 'Rowing' 'Equestrianism' 'Fencing' 'Judo'
 'Canoeing' 'Modern Pentathlon' 'Taekwondo']",Turkey,
1319,1908,Summer,ANZ,30,20,['Athletics' 'Diving' 'Boxing' 'Swimming' 'Rugby' 'Shooting'],Australia,Australasia
1320,1912,Summer,ANZ,25,17,['Swimming' 'Rowing' 'Athletics' 'Tennis'],Australia,Australasia
1321,1908,Summer,ISL,1,1,['Wrestling'],Iceland,
1322,1912,Summer,ISL,2,2,['Athletics' 'Wrestling'],Iceland,
1323,1936,Summer,ISL,12,6,['Water Polo' 'Athletics'],Iceland,
1324,1948,Summer,ISL,20,18,['Swimming' 'Athletics' 'Art Competitions'],Iceland,
1325,1948,Winter,ISL,4,4,['Ski Jumping' 'Alpine Skiing'],Iceland,
1326,1952,Summer,ISL,9,11,['Athletics'],Iceland,
1327,1952,Winter,ISL,11,7,['Alpine Skiing' 'Ski Jumping' 'Cross Country Skiing'],Iceland,
1328,1956,Summer,ISL,2,2,['Athletics'],Iceland,
1329,1956,Winter,ISL,7,7,['Alpine Skiing' 'Cross Country Skiing'],Iceland,
1330,1960,Summer,ISL,9,11,['Athletics' 'Swimming'],Iceland,
1331,1960,Winter,ISL,4,4,['Alpine Skiing' 'Ski Jumping'],Iceland,
1332,1964,Summer,ISL,4,5,['Swimming' 'Athletics'],Iceland,
1333,1964,Winter,ISL,5,4,['Alpine Skiing' 'Cross Country Skiing'],Iceland,
1334,1968,Summer,ISL,8,15,['Swimming' 'Athletics' 'Weightlifting'],Iceland,
1335,1968,Winter,ISL,4,2,['Alpine Skiing'],Iceland,
1336,1972,Summer,ISL,25,16,['Handball' 'Swimming' 'Weightlifting' 'Athletics'],Iceland,
1337,1976,Summer,ISL,13,22,['Swimming' 'Athletics' 'Judo' 'Weightlifting'],Iceland,
1338,1976,Winter,ISL,8,7,['Alpine Skiing' 'Cross Country Skiing'],Iceland,
1339,1980,Summer,ISL,9,11,['Weightlifting' 'Athletics' 'Judo'],Iceland,
1340,1980,Winter,ISL,6,6,['Cross Country Skiing' 'Alpine Skiing'],Iceland,
1341,1984,Summer,ISL,30,17,['Handball' 'Swimming' 'Athletics' 'Judo' 'Sailing'],Iceland,
1342,1984,Winter,ISL,5,6,['Alpine Skiing' 'Cross Country Skiing'],Iceland,
1343,1988,Summer,ISL,32,25,['Handball' 'Judo' 'Athletics' 'Swimming' 'Sailing'],Iceland,
1344,1988,Winter,ISL,3,6,['Alpine Skiing' 'Cross Country Skiing'],Iceland,
1345,1992,Summer,ISL,27,15,['Handball' 'Judo' 'Athletics' 'Shooting' 'Badminton' 'Swimming'],Iceland,
1346,1992,Winter,ISL,5,9,['Alpine Skiing' 'Cross Country Skiing'],Iceland,
1347,1994,Winter,ISL,5,9,['Alpine Skiing' 'Cross Country Skiing'],Iceland,
1348,1996,Summer,ISL,9,15,['Gymnastics' 'Athletics' 'Swimming' 'Badminton' 'Judo'],Iceland,
1349,1998,Winter,ISL,7,5,['Alpine Skiing'],Iceland,
1350,2000,Summer,ISL,18,28,['Gymnastics' 'Shooting' 'Athletics' 'Swimming' 'Sailing'],Iceland,
1351,2002,Winter,ISL,6,7,['Alpine Skiing'],Iceland,
1352,2004,Summer,ISL,26,20,['Gymnastics' 'Handball' 'Swimming' 'Athletics' 'Sailing'],Iceland,
1353,2006,Winter,ISL,5,8,['Alpine Skiing'],Iceland,
1354,2008,Summer,ISL,27,18,['Swimming' 'Handball' 'Athletics' 'Badminton' 'Judo'],Iceland,
1355,2010,Winter,ISL,4,5,['Alpine Skiing'],Iceland,
1356,2012,Summer,ISL,27,20,['Swimming' 'Handball' 'Athletics' 'Badminton' 'Judo' 'Shooting'],Iceland,
1357,2014,Winter,ISL,5,7,['Alpine Skiing' 'Cross Country Skiing'],Iceland,
1358,2016,Summer,ISL,8,14,['Swimming' 'Athletics' 'Judo' 'Gymnastics'],Iceland,
1359,1912,Summer,CHI,14,16,['Shooting' 'Equestrianism' 'Cycling' 'Athletics'],Chile,
1360,1920,Summer,CHI,2,2,['Athletics'],Chile,
1361,1924,Summer,CHI,13,12,['Boxing' 'Cycling' 'Fencing' 'Athletics' 'Tennis'],Chile,
1362,1928,Summer,CHI,38,22,['Football' 'Athletics' 'Swimming' 'Fencing' 'Boxing' 'Cycling'],Chile,
1363,1936,Summer,CHI,40,27,"['Athletics' 'Fencing' 'Swimming' 'Basketball' 'Cycling' 'Boxing'
 'Shooting' 'Sailing']",Chile,
1364,1948,Summer,CHI,54,31,"['Fencing' 'Water Polo' 'Boxing' 'Basketball' 'Shooting' 'Athletics'
 'Modern Pentathlon' 'Cycling' 'Diving']",Chile,
1365,1948,Winter,CHI,4,3,['Alpine Skiing'],Chile,
1366,1952,Summer,CHI,59,33,"['Rowing' 'Football' 'Basketball' 'Swimming' 'Shooting'
 'Modern Pentathlon' 'Athletics' 'Equestrianism' 'Cycling']",Chile,
1367,1952,Winter,CHI,3,3,['Alpine Skiing'],Chile,
1368,1956,Summer,CHI,33,22,"['Athletics' 'Basketball' 'Boxing' 'Modern Pentathlon' 'Rowing' 'Shooting'
 'Cycling' 'Diving']",Chile,
1369,1956,Winter,CHI,3,3,['Alpine Skiing'],Chile,
1370,1960,Summer,CHI,9,8,['Athletics' 'Boxing' 'Shooting'],Chile,
1371,1960,Winter,CHI,5,3,['Alpine Skiing'],Chile,
1372,1964,Summer,CHI,14,13,"['Athletics' 'Modern Pentathlon' 'Fencing' 'Shooting' 'Boxing'
 'Equestrianism']",Chile,
1373,1964,Winter,CHI,5,3,['Alpine Skiing'],Chile,
1374,1968,Summer,CHI,21,19,['Shooting' 'Athletics' 'Boxing' 'Equestrianism'],Chile,
1375,1968,Winter,CHI,4,5,['Alpine Skiing'],Chile,
1376,1972,Summer,CHI,11,9,['Equestrianism' 'Boxing' 'Athletics' 'Rowing' 'Shooting'],Chile,
1377,1976,Summer,CHI,7,8,['Shooting' 'Fencing' 'Cycling' 'Athletics'],Chile,
1378,1976,Winter,CHI,5,3,['Alpine Skiing'],Chile,
1379,1984,Summer,CHI,52,25,"['Rowing' 'Shooting' 'Athletics' 'Football' 'Cycling' 'Sailing'
 'Equestrianism' 'Judo']",Chile,
1380,1984,Winter,CHI,4,3,['Alpine Skiing'],Chile,
1381,1988,Summer,CHI,17,14,"['Athletics' 'Modern Pentathlon' 'Shooting' 'Table Tennis' 'Sailing'
 'Rowing']",Chile,
1382,1988,Winter,CHI,5,5,['Alpine Skiing'],Chile,
1383,1992,Summer,CHI,12,12,"['Shooting' 'Boxing' 'Cycling' 'Sailing' 'Table Tennis' 'Athletics'
 'Tennis']",Chile,
